,name,aro,ava,regional_name,aro_swaras,ava_swaras,kritis,aro_seq,ava_seq,category,swaras,melam_num,janaka_melam,janaka,chakra,chakra_num,hind,songs,alternates,same_aro,same_ava,one_swara_diff,varnams
0,accan,"['s', 'r1', 'm1', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'g2', 's']",అచ్చన్,"['షడ్జమం', 'సుద్ద  రిషభం', 'సుద్ద మధ్యమం', 'పంచమం', 'చతుశృతి దైవతం', 'కైసికి నిషాదం', 'షడ్జమం']","['షడ్జమం', 'కైసికి నిషాదం', 'చతుశృతి దైవతం', 'పంచమం', 'సుద్ద మధ్యమం', 'సాధారణ  గాంధారం', 'షడ్జమం']",[],S|R1|M1|P|D2|N2|S',S'|N2|D2|P|M1|G2|S,శాడవ,"['m1', 'n2', 'g2', 's.', 'r1', 's', 'p', 'd2']",,10,నటకప్రియ,,,[],[],[],"['అంజనై', 'రసాలి', 'ఎల్లోన్', 'వనలి', 'గిరిజావళీ', 'తిరుమాచ్చుత', 'వసంతలీల', 'శ్రీనారాయని', 'కరజావళి', 'రత్నాభరణ', 'శ్రీకైవల్యం', 'భానుమతి', ' భ్రమరవర్ధిని', 'భ్రమరావర్దిని', 'అంధకారి', 'ఇంద్రపాద', 'గంగసూత']","['మాతంగగామిని', 'కోడై', 'కొత్రి', 'కన్నడసౌరాష్ట్ర', 'కోమగళ్', 'నగరి', 'కోకలి', 'అతిధత', 'జయంతసేన', 'ఇంద్రధను', 'సునాద']","['తోడీ', 'ఖరహరప్రియ', 'ధన్యాసి', 'సహానాయకన్', 'దేవమనోహారి']",[]
1,adibhairavi,"['s', 'm1', 'g2', 'm1', 'p', 'd1', 's.']","['s.', 'n2', 'd1', 'p', 'g2', 'r2', 's']",ఆదిభైరవి,"['షడ్జమం', 'సుద్ద మధ్యమం', 'సాధారణ  గాంధారం', 'సుద్ద మధ్యమం', 'పంచమం', 'సుద్ద దైవతం', 'షడ్జమం']","['షడ్జమం', 'కైసికి నిషాదం', 'సుద్ద దైవతం', 'పంచమం', 'సాధారణ  గాంధారం', 'చతుశృతి రిషభం', 'షడ్జమం']","[['న దిరు  దిరు ధిం   తనన-తిల్లన', 'ఎం. బాలమురళీకృష్ణ', ''], ['శ్రీ జగదీశ్వరి దుర్గ', 'లాల్గుడి జయరామన్', '']]",S|M1|G2|M1|P|D1|S',S'|N2|D1|P|G2|R2|S,ఔడవ-శాడవ,"['m1', 'd1', 'n2', 'g2', 's.', 's', 'r2', 'p']",,20,నటభైరవి,,,[],[],[],[],"['జయవాణి', 'గమనతరంగిని', 'రసకలాంబిక', 'పనువలట్టి', 'ఝాన్కారి', 'గణపైనది', ' జీవన్పురీ', 'జరంగి', 'గోమేధికప్రియ']","['తోడీ', 'భైరవి', 'ఖరహరప్రియ', 'మణిరంగు', 'బాగేశ్రీ']",[]
2,agamarudam,"['s', 'r2', 'g3', 'p', 'n2', 's.']","['s.', 'd1', 'p', 'm2', 'g3', 'r2', 's']",ఆగమారుదాం,"['షడ్జమం', 'చతుశృతి రిషభం', 'అంతర గాంధారం', 'పంచమం', 'కైసికి నిషాదం', 'షడ్జమం']","['షడ్జమం', 'సుద్ద దైవతం', 'పంచమం', 'ప్రతి మధ్యమం', 'అంతర గాంధారం', 'చతుశృతి రిషభం', 'షడ్జమం']",[],S|R2|G3|P|N2|S',S'|D1|P|M2|G3|R2|S,ఔడవ-శాడవ,"['d1', 'n2', 's.', 'm2', 's', 'r2', 'p', 'g3']",,62,రిషభప్రియ,,,[],[],[],"['చిత్రోదవి!', 'సింఘనాదం', 'సింహనాద', 'జనిని', ' వినవాడిని', 'స్వతి', 'నమ్మజహ్వర్', 'సురభిప్రియ']","['గోవిందధన్యాసి', 'పత్రవజయ్', 'అంగయార్కాన్ని', 'ముకుందకళ్యాణి', 'శ్రీరాంని', 'అధిపతి', 'ఓంశుద్ధరాగం', 'కండవాలి', 'భద్రవజహై', 'ఎజ్హిళానాయకన్', ' ఒడిశిల్', 'విన్నవాదాధిపతి', 'వేదగిరి', 'నేడియోన్', 'శివనాయకి', 'ఘంటవాలి', 'బృందావనదేశాక్షి', 'కనకకుసుమవాలి', 'రుచిరమణి']","['కళ్యాణి', 'షణ్ముఖప్రియ', 'నలత్తం', 'సారంగ', 'చారుకేశి']",[]
3,aguduri,"['s', 'r2', 'g3', 'p', 'd1', 's.']","['s.', 'n2', 'p', 'm2', 'g3', 'r2', 's']",అగుడురి,"['షడ్జమం', 'చతుశృతి రిషభం', 'అంతర గాంధారం', 'పంచమం', 'సుద్ద దైవతం', 'షడ్జమం']","['షడ్జమం', 'కైసికి నిషాదం', 'పంచమం', 'ప్రతి మధ్యమం', 'అంతర గాంధారం', 'చతుశృతి రిషభం', 'షడ్జమం']",[],S|R2|G3|P|D1|S',S'|N2|P|M2|G3|R2|S,ఔడవ-శాడవ,"['d1', 'n2', 's.', 'm2', 's', 'r2', 'p', 'g3']",,62,రిషభప్రియ,,,[],[],[],"['దేశక్సి', 'జరప', 'వసంతి', 'శిరువాజ్హుతునై', 'బదరీ', 'దివ్యతోరని', 'గోకులమూర్తి', 'యతక్సి', ' చిత్రిని', 'జనసమ్మోదిని', 'అంగరంగ', ' మార్గదేశిక']","['పద్మకాంతి', 'మంగయర్కరశి', 'ఇన్నిశాక్కడల్', 'అనువజ్హిప్రియన్', ' అరుల్నాయకి', 'దేవపుగాజ్హ్మణి', 'వినమృతం', 'కరుణాకరన్', 'కుటుంబిని']","['సారంగ', 'జ్యోతిస్వరూపిణి', 'వీసాకిని', 'వీరరాణి', 'విరన్']",[]
4,ahirinata,"['s', 'm1', 'g3', 'm1', 'p', 'd2', 'n3', 's.']","['s.', 'n3', 'p', 'd2', 'n3', 'p', 'g3', 'm1', 's']",అహిరినాట,"['షడ్జమం', 'సుద్ద మధ్యమం', 'అంతర గాంధారం', 'సుద్ద మధ్యమం', 'పంచమం', 'చతుశృతి దైవతం', 'కాకలి  నిషాదం', 'షడ్జమం']","['షడ్జమం', 'కాకలి  నిషాదం', 'పంచమం', 'చతుశృతి దైవతం', 'కాకలి  నిషాదం', 'పంచమం', 'అంతర గాంధారం', 'సుద్ద మధ్యమం', 'షడ్జమం']",[],S|M1|G3|M1|P|D2|N3|S',S'|N3|P|D2|N3|P|G3|M1|S,శాడవ,"['m1', 'n3', 's.', 's', 'p', 'd2', 'g3']",,29,ధీరశంకరాభరణం,,,[],[],[],"['పద్రధ్వని', 'పాటిరవ', 'మహానందిని', 'హరినాట', 'భానుత']",[],"['ధీరశంకరాభరణం', 'బిలహరి', 'కనడ', 'దర్బార్', 'దేవగాంధారి']",[]
5,citam,"['s', 'g3', 'm1', 'd1', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'g3', 'r2', 's']",చితం,"['షడ్జమం', 'అంతర గాంధారం', 'సుద్ద మధ్యమం', 'సుద్ద దైవతం', 'షడ్జమం']","['షడ్జమం', 'కైసికి నిషాదం', 'సుద్ద దైవతం', 'పంచమం', 'సుద్ద మధ్యమం', 'అంతర గాంధారం', 'చతుశృతి రిషభం', 'షడ్జమం']",[],S|G3|M1|D1|S',S'|N2|D1|P|M1|G3|R2|S,స్వరాంతర-సంపూర్ణ,"['m1', 'd1', 'n2', 's.', 's', 'r2', 'p', 'g3']",,26,చారుకేశి,,,[],[],[],"['సుధాకరప్రియ', 'శ్రీఅనక', 'ఉలగనేత్ర', 'ఆవిడైయర్', 'జలజవతి', 'సుఖంబల్', 'కోకిలగంధర్వ', 'ఉదసనన్', 'సుతకారప్రియ']","['మరుభి', 'జరప', 'సోమప్రతాపం', 'జతిరేష', 'తరంగిణి', 'సర్వభౌమ', 'సతిరేశ', 'చారుకేశి', 'పూర్వాధన్యాసి', 'సాదకవనం', 'శుక్రజ్యోతి', 'అంతరవాహిని', 'శివమనోహరి']","['ఆనంద', 'అభేరి', 'ఉమాభరణ', 'మరరంజని', 'విష్ణుప్రియ']",[]
6,citracandrika,"['s', 'g3', 'r2', 'm2', 'p', 'n3', 'd1', 's.']","['s.', 'n3', 'd1', 'm2', 'g3', 'r2', 's']",చిత్రచంద్రిక,"['షడ్జమం', 'అంతర గాంధారం', 'చతుశృతి రిషభం', 'ప్రతి మధ్యమం', 'పంచమం', 'కాకలి  నిషాదం', 'సుద్ద దైవతం', 'షడ్జమం']","['షడ్జమం', 'కాకలి  నిషాదం', 'సుద్ద దైవతం', 'ప్రతి మధ్యమం', 'అంతర గాంధారం', 'చతుశృతి రిషభం', 'షడ్జమం']",[],S|G3|R2|M2|P|N3|D1|S',S'|N3|D1|M2|G3|R2|S,సంపూర్ణ-శాడవ,"['d1', 'n3', 's.', 'm2', 's', 'r2', 'p', 'g3']",,63,లతంగి,,,[],[],[],['చాముండి'],"['లలితాంగి', 'కన్నయ్యకి']","['కుంతలం', 'కాంతామణి', 'ధాతువర్ధని', ' చిత్రంబరి', 'యోగజ్యోతి']",[]
7,citramalika,"['s', 'r2', 'g2', 'm1', 'p', 'd2', 'n3', 's.']","['s.', 'd2', 'p', 'm1', 'r2', 's']",చిత్రమాలిక,"['షడ్జమం', 'చతుశృతి రిషభం', 'సాధారణ  గాంధారం', 'సుద్ద మధ్యమం', 'పంచమం', 'చతుశృతి దైవతం', 'కాకలి  నిషాదం', 'షడ్జమం']","['షడ్జమం', 'చతుశృతి దైవతం', 'పంచమం', 'సుద్ద మధ్యమం', 'చతుశృతి రిషభం', 'షడ్జమం']",[],S|R2|G2|M1|P|D2|N3|S',S'|D2|P|M1|R2|S,సంపూర్ణ-ఔడవ,"['m1', 'g2', 'n3', 's.', 's', 'r2', 'p', 'd2']",,23,గౌరిమనోహరి,,,[],[],[],"['సాయక', 'విజయనారాయణి', 'గౌరీమనోహరి', 'సదయ', 'షంహ్బరీప్రియ', 'చిత్తోత్తమ', 'కోమల', 'కోదండ', 'సింధోత్తమ', 'దేశక్య', 'తిరుచ్చయమగళ్']","['హరిధర్భ', 'యాదవనాయకన్', 'కోన్', 'శ్రీసురగురు', 'పజ్హంతక్క', 'జనరంజని', 'శుధ్ధసావేరి', 'సేల్వమని', 'భిన్నవిక్రయం', 'లయమధ్య', 'ఘాంటైకురింజి', 'సెచ్చై', 'దేవశ్రయ', 'కల్హరు', 'దుర్గ', 'జావోన్నతి', 'నటనావతి', 'శోవై', 'నందనవలి']","['ధీరశంకరాభరణం', 'ఖరహరప్రియ', 'కనడ', 'దర్బార్', 'షహానా']",[]
8,citramandra,"['s', 'r1', 'g3', 'm1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm1', 'g3', 'r1', 's']",చిత్రమంద్ర,"['షడ్జమం', 'సుద్ద  రిషభం', 'అంతర గాంధారం', 'సుద్ద మధ్యమం', 'కాకలి  నిషాదం', 'షడ్జమం']","['షడ్జమం', 'కాకలి  నిషాదం', 'సుద్ద దైవతం', 'పంచమం', 'సుద్ద మధ్యమం', 'అంతర గాంధారం', 'సుద్ద  రిషభం', 'షడ్జమం']",[],S|R1|G3|M1|N3|S',S'|N3|D1|P|M1|G3|R1|S,ఔడవ-సంపూర్ణ,"['m1', 'd1', 'n3', 's.', 'r1', 's', 'p', 'g3']",,15,మాయామాళవగౌళ రాగము,,,[],[],[],"['మేఘారంజి', 'అవివర్ధన']","['బిన్దుహెరాలి', 'కుకుట', 'పరజు', 'మల్లికావసంతం', 'ఘనసింధు', 'మంగళకైశిక!', 'ప్రకారరంజని', 'మోహనకైశికి', 'సింహలలిత', 'మార్గసంజీవిని', 'ఛాయాకౌశిక', 'శేషప్రభాత', 'మేకబౌలి', 'మతిరుఅనిల', 'ఉచ్చికిజ', 'కాశీరామక్రియా', 'మాయామాళవగౌళ రాగము', 'గేయ', 'లిప్తలి', 'మాళవపంచమం', 'బౌలంగి', 'గుహాతిరుమలై', 'విల్లి', 'కేసభౌలి', 'ఇందల', ' సురసింధు', 'దారకవసంత', 'ఉస', ' మాళవగౌళ', 'పురాణకమ్', 'గుమ్మకాంభోజి', ' ఇషైకాదండైపద', ' ఉసన', 'ముడువన్', 'వేగవదిత్య', ' శనానాస్త్ర', 'మంగళకైశికి', 'యోగలీల', 'విరసంకాశిని', 'బ్రహ్మలీల']","['ఆనంద', 'గౌళ', 'మలహరి', 'బౌళి', 'పహాడి']",[]
9,haradharini,"['s', 'g1', 'm2', 'p', 'd1', 's.']","['s.', 'd1', 'p', 'm2', 'r1', 's']",హారధారిని,"['షడ్జమం', 'సుద్ద  గాంధారం', 'ప్రతి మధ్యమం', 'పంచమం', 'సుద్ద దైవతం', 'షడ్జమం']","['షడ్జమం', 'సుద్ద దైవతం', 'పంచమం', 'ప్రతి మధ్యమం', 'సుద్ద  రిషభం', 'షడ్జమం']",[],S|G1|M2|P|D1|S',S'|D1|P|M2|R1|S,ఔడవ,"['d1', 's.', 'm2', 'r1', 'g1', 's', 'p']",,37,సలగం,,,[],[],[],[],"['జలకేసరి', 'ఉత్తుంగమన', 'పుష్పలలిత', 'హస్తిని', 'శరచ్ఛందని', 'తిషయం', ' పరందామన్', 'నెక్కురోదం', 'తారాజ్యోతి', 'కన్నడకురింజి']","['సావేరి', 'వరాలి', 'మలయమరుతమ్', 'అమృతవర్షని', 'సాలగభైరవి']",[]
